BindingEnergy,Raw,Background,Envelope,Peak_CC,Peak_CO,Peak_CeqO,Peak_OCeqO
280.500000,0.113603,0.120000,0.120000,0.000000,0.000000,0.000000,0.000000
280.564246,0.136075,0.123289,0.123289,0.000000,0.000000,0.000000,0.000000
280.628492,0.120922,0.126574,0.126574,0.000000,0.000000,0.000000,0.000000
280.692737,0.121976,0.129853,0.129853,0.000000,0.000000,0.000000,0.000000
280.756983,0.109870,0.133121,0.133121,0.000000,0.000000,0.000000,0.000000
280.821229,bad_value,0.136375,0.136375,0.000000,0.000000,0.000000,0.000000
280.885475,0.167410,0.139612,0.139612,0.000000,0.000000,0.000000,0.000000
280.949721,0.153432,0.142828,0.142828,0.000000,0.000000,0.000000,0.000000
281.013966,0.171943,0.146021,0.146021,0.000000,0.000000,0.000000,0.000000
281.078212,0.155410,0.149187,0.149187,0.000000,0.000000,0.000000,0.000000
281.142458,0.162193,0.152324,0.152324,0.000000,0.000000,0.000000,0.000000
281.206704,0.160060,0.155427,0.155427,0.000000,0.000000,0.000000,0.000000
281.270950,0.116843,0.158494,0.158494,0.000000,0.000000,0.000000,0.000000
281.335196,0.182905,0.161523,0.161523,0.000000,0.000000,0.000000,0.000000
281.399441,0.177171,0.164511,0.164511,0.000000,0.000000,0.000000,0.000000
281.463687,0.179926,0.167456,0.167456,0.000000,0.000000,0.000000,0.000000
281.527933,0.128070,0.170354,0.170354,0.000000,0.000000,0.000000,0.000000
281.592179,0.129608,0.173205,0.173205,0.000000,0.000000,0.000000,0.000000
281.656425,0.153765,0.176005,0.176005,0.000000,0.000000,0.000000,0.000000
281.720670,0.167049,0.178754,0.178754,0.000000,0.000000,0.000000,0.000000
281.784916,0.189085,0.181449,0.181449,0.000000,0.000000,0.000000,0.000000
281.849162,0.182941,0.184089,0.184089,0.000000,0.000000,0.000000,0.000000
281.913408,0.199696,0.186672,0.186672,0.000000,0.000000,0.000000,0.000000
281.977654,0.173142,0.189198,0.189198,0.000000,0.000000,0.000000,0.000000
282.041899,0.199383,0.191666,0.191666,0.000000,0.000000,0.000000,0.000000
282.106145,0.203928,0.194074,0.194074,0.000000,0.000000,0.000000,0.000000
282.170391,0.179894,0.196423,0.196423,0.000000,0.000000,0.000000,0.000000
282.234637,0.241650,0.198711,0.198711,0.000000,0.000000,0.000000,0.000000
282.298883,0.214855,0.200940,0.200940,0.000000,0.000000,0.000000,0.000000
282.363128,0.233034,0.203108,0.203109,0.000000,0.000000,0.000000,0.000000
282.427374,0.189709,0.205217,0.205217,0.000000,0.000000,0.000000,0.000000
282.491620,0.188779,0.207266,0.207267,0.000000,0.000000,0.000000,0.000000
282.555866,0.200657,0.209257,0.209258,0.000001,0.000000,0.000000,0.000000
282.620112,0.208532,0.211190,0.211192,0.000003,0.000000,0.000000,0.000000
282.684358,0.228873,0.213066,0.213071,0.000006,0.000000,0.000000,0.000000
282.748603,0.221109,0.214886,0.214898,0.000012,0.000000,0.000000,0.000000
282.812849,0.205493,0.216652,0.216677,0.000025,0.000000,0.000000,0.000000
282.877095,0.194494,0.218366,0.218417,0.000051,0.000000,0.000000,0.000000
282.941341,0.207115,0.220029,0.220130,0.000101,0.000000,0.000000,0.000000
283.005587,0.252363,0.221644,0.221840,0.000196,0.000000,0.000000,0.000000
283.069832,0.203385,0.223212,0.223584,0.000372,0.000000,0.000000,0.000000
283.134078,0.231545,0.224735,0.225426,0.000690,0.000001,0.000000,0.000000
283.198324,0.238132,0.226217,0.227469,0.001251,0.000001,0.000000,0.000000
283.262570,0.192633,0.227659,0.229877,0.002216,0.000002,0.000000,0.000000
283.326816,0.234114,0.229064,0.232902,0.003834,0.000003,0.000000,0.000000
283.391061,0.269578,0.230436,0.236922,0.006481,0.000006,0.000000,0.000000
283.455307,0.192127,0.231777,0.242486,0.010700,0.000009,0.000000,0.000000
283.519553,0.242324,0.233090,0.250364,0.017259,0.000016,0.000000,0.000000
283.583799,0.258943,0.234378,0.261596,0.027193,0.000026,0.000000,0.000000
283.648045,0.257109,0.235644,0.277540,0.041855,0.000041,0.000000,0.000000
283.712291,0.312325,0.236893,0.299890,0.062932,0.000066,0.000000,0.000000
283.776536,0.329107,0.238126,0.330664,0.092434,0.000104,0.000000,0.000000
283.840782,0.335522,0.239348,0.372138,0.132628,0.000162,0.000000,0.000000
283.905028,0.447407,0.240562,0.426711,0.185899,0.000250,0.000000,0.000000
283.969274,0.513425,0.241771,0.496692,0.254540,0.000381,0.000000,0.000000
284.033520,0.607665,0.242979,0.584019,0.340466,0.000574,0.000000,0.000000
284.097765,0.725924,0.244189,0.689910,0.444865,0.000855,0.000000,0.000000
284.162011,0.823555,0.245405,0.814499,0.567834,0.001259,0.000000,0.000000
284.226257,0.959478,0.246631,0.956497,0.708032,0.001834,0.000000,0.000000
284.290503,1.080456,0.247869,1.112936,0.862427,0.002640,0.000000,0.000000
